player1 | 10 | Level 1 | 2025-10-19 01:12:14
player1 | 20 | Level 1 | 2025-10-19 01:12:16
player1 | 30 | Level 1 | 2025-10-19 01:12:17
player1 | 40 | Level 1 | 2025-10-19 01:12:18
player1 | 70 | Level 1 | 2025-10-19 15:00:44
player1 | 80 | Level 1 | 2025-10-19 15:00:45
player1 | 90 | Level 1 | 2025-10-19 15:00:47
player1 | 100 | Level 1 | 2025-10-19 15:00:48
player1 | 110 | Level 1 | 2025-10-19 15:00:49
player1 | 350 | Level 1 | 2025-10-19 18:37:50
player1 | 360 | Level 1 | 2025-10-19 18:37:51
player1 | 370 | Level 1 | 2025-10-19 18:37:52
player1 | 380 | Level 1 | 2025-10-19 18:37:54
player1 | 390 | Level 1 | 2025-10-19 18:37:55
player1 | 400 | Level 1 | 2025-10-19 18:37:56
player1 | 410 | Level 1 | 2025-10-19 18:37:57
player1 | 420 | Level 1 | 2025-10-19 18:37:58
player1 | 430 | Level 1 | 2025-10-19 18:37:59
player1 | 440 | Level 1 | 2025-10-19 18:38:00
player1 | 450 | Level 1 | 2025-10-19 18:38:02
player1 | 460 | Level 1 | 2025-10-19 18:38:03
player1 | 470 | Level 1 | 2025-10-19 18:38:04
player1 | 480 | Level 1 | 2025-10-19 18:38:05
player1 | 490 | Level 1 | 2025-10-19 18:38:07
player1 | 500 | Level 1 | 2025-10-19 18:38:08
player1 | 510 | Level 1 | 2025-10-19 18:38:09
player1 | 520 | Level 1 | 2025-10-19 18:38:11
player1 | 530 | Level 1 | 2025-10-19 18:38:12
player1 | 540 | Level 1 | 2025-10-19 18:38:13
player1 | 550 | Level 1 | 2025-10-19 18:38:15
player1 | 560 | Level 1 | 2025-10-19 18:38:16
player1 | 570 | Level 1 | 2025-10-19 18:38:17
player1 | 580 | Level 1 | 2025-10-19 18:38:18
player1 | 590 | Level 1 | 2025-10-19 18:38:19
player1 | 600 | Level 1 | 2025-10-19 18:38:21
player1 | 610 | Level 1 | 2025-10-19 18:38:22
player1 | 620 | Level 1 | 2025-10-19 18:38:24
player1 | 630 | Level 1 | 2025-10-19 18:38:25
player1 | 640 | Level 1 | 2025-10-19 18:38:26
player1 | 650 | Level 1 | 2025-10-19 18:38:28
player1 | 660 | Level 1 | 2025-10-19 18:38:29
player1 | 670 | Level 1 | 2025-10-19 18:38:30
player1 | 680 | Level 1 | 2025-10-19 18:38:31
player1 | 690 | Level 1 | 2025-10-19 18:38:33
player1 | 700 | Level 1 | 2025-10-19 18:38:34
player1 | 710 | Level 1 | 2025-10-19 18:38:35
player1 | 720 | Level 1 | 2025-10-19 18:38:37
player1 | 730 | Level 1 | 2025-10-19 18:38:38
player1 | 740 | Level 1 | 2025-10-19 18:38:39
player1 | 750 | Level 1 | 2025-10-19 18:38:41
player1 | 760 | Level 1 | 2025-10-19 18:38:42
player1 | 770 | Level 1 | 2025-10-19 18:38:43
player1 | 780 | Level 1 | 2025-10-19 18:38:45
player1 | 790 | Level 1 | 2025-10-19 18:38:46
player1 | 800 | Level 1 | 2025-10-19 18:38:48
player1 | 810 | Level 1 | 2025-10-19 18:38:49
player1 | 820 | Level 1 | 2025-10-19 18:38:50
player1 | 830 | Level 1 | 2025-10-19 18:38:51
player1 | 840 | Level 1 | 2025-10-19 18:38:52
player1 | 850 | Level 1 | 2025-10-19 18:38:54
player1 | 860 | Level 1 | 2025-10-19 18:38:55
player1 | 870 | Level 1 | 2025-10-19 18:38:56
player1 | 880 | Level 1 | 2025-10-19 18:38:57
player1 | 890 | Level 1 | 2025-10-19 18:38:58
player1 | 900 | Level 1 | 2025-10-19 18:38:59
player1 | 910 | Level 1 | 2025-10-19 18:39:01
player1 | 920 | Level 1 | 2025-10-19 18:39:02
player1 | 930 | Level 1 | 2025-10-19 18:39:03
player1 | 940 | Level 1 | 2025-10-19 18:39:04
player1 | 950 | Level 1 | 2025-10-19 18:39:06
player1 | 960 | Level 1 | 2025-10-19 18:39:07
player1 | 970 | Level 1 | 2025-10-19 18:39:09
player1 | 10 | Level 1 | 2025-10-20 13:21:16
player1 | 20 | Level 1 | 2025-10-20 13:21:16
player1 | 60 | Level 1 | 2025-10-20 13:21:21
player1 | 160 | Level 1 | 2025-10-20 13:22:11
player1 | 170 | Level 1 | 2025-10-20 13:22:11
player1 | 270 | Level 1 | 2025-10-20 14:58:25
player1 | 280 | Level 1 | 2025-10-20 14:58:26
player1 | 290 | Level 1 | 2025-10-20 14:58:27
player1 | 440 | Level 1 | 2025-10-20 15:00:56
player1 | 10 | Level 1 | 2025-10-20 15:26:43
player1 | 200 | Level 1 | 2025-10-20 15:27:10
player1 | 300 | Level 1 | 2025-10-20 15:27:27
player1 | 310 | Level 1 | 2025-10-20 15:27:29
player1 | 320 | Level 1 | 2025-10-20 15:27:31
player1 | 20 | Level 1 | 2025-10-20 15:30:36
player1 | 20 | Level 1 | 2025-10-20 15:45:29
player1 | 100 | Level 1 | 2025-10-20 15:59:15
player1 | 0 | Level 1 | 2025-10-20 16:00:04
player1 | 0 | Level 1 | 2025-10-20 16:03:00
player1 | 200 | Level 1 | 2025-10-20 16:03:39
player1 | 200 | Level 1 | 2025-10-20 16:03:41
player1 | 200 | Level 1 | 2025-10-20 16:03:42
player1 | 200 | Level 1 | 2025-10-20 16:03:44
player1 | 200 | Level 1 | 2025-10-20 16:03:46
player1 | 200 | Level 1 | 2025-10-20 16:03:48
player1 | 200 | Level 1 | 2025-10-20 16:03:50
player1 | 200 | Level 1 | 2025-10-20 16:03:50
player1 | 200 | Level 1 | 2025-10-20 16:03:50
player1 | 200 | Level 1 | 2025-10-20 16:03:50
player1 | 200 | Level 1 | 2025-10-20 16:03:50
player1 | 200 | Level 1 | 2025-10-20 16:03:51
player1 | 200 | Level 1 | 2025-10-20 16:03:51
player1 | 200 | Level 1 | 2025-10-20 16:03:51
